CNN,street1,street2,street3,street4
52102000,HWY 101 SOUTHBOUND RAMP,HWY 1 NORTHBOUND,HWY 1 TO HWY 101 NORTHBOUND RAMP,
15179000,HWY 101 SOUTHBOUND RAMP,HWY 1 NORTHBOUND,HWY 1 TO HWY 101 NORTHBOUND RAMP,
11044000,RIVERA ST,09TH AVE,12TH AVE,
32887000,RIVERA ST,09TH AVE,12TH AVE,
24216000,DIVISION ST,11TH ST,13TH ST,
24216000,BRYANT ST,11TH ST,13TH ST,
517000,BRYANT ST,11TH ST,13TH ST,
2209000,ALOHA AVE,14TH AVE,15TH AVE,
27347000,ALOHA AVE,14TH AVE,15TH AVE,
23848000,CAROLINA ST,08TH ST,15TH ST,
3706000,CAROLINA ST,08TH ST,15TH ST,
9199000,MISSISSIPPI ST,07TH ST,16TH ST,
23785000,MISSISSIPPI ST,07TH ST,16TH ST,
27347000,15TH AVE,14TH AVE,ALOHA AVE,
618101,15TH AVE,14TH AVE,ALOHA AVE,
27347000,14TH AVE,15TH AVE,ALOHA AVE,
563201,14TH AVE,15TH AVE,ALOHA AVE,
563101,14TH AVE,15TH AVE,ALOHA AVE,
618201,15TH AVE,14TH AVE,ALOHA AVE,
11140000,ROOSEVELT WAY,14TH ST,ALPINE TER,
26014000,ROOSEVELT WAY,14TH ST,ALPINE TER,
20594000,ORDWAY ST,ALDER ST,ANKENY ST,
10891000,RALSTON ST,ALEMANY BLVD,ARCH ST,
22516000,WORCESTER AVE,ALEMANY BLVD,ARCH ST,
22516000,RALSTON ST,ALEMANY BLVD,ARCH ST,
20247000,CARGO WAY,03RD ST,ARTHUR AVE,
34107000,GATEVIEW AVE,13TH TI ST,AVENUE H,
34069000,PERIMETER PATH,09TH TI ST,AVENUE OF THE PALMS,
14251000,PERIMETER PATH,09TH TI ST,AVENUE OF THE PALMS,
27213000,TURK BLVD,ARGUELLO BLVD,BALBOA ST,
33158000,EGBERT AVE,BACON ST,BAY SHORE BLVD,
20465000,HWY 101 N OFF RAMP,03RD ST,BAY SHORE BLVD,
20465000,MEADE AVE,03RD ST,BAY SHORE BLVD,
20298000,SAN BRUNO AVE,ARLETA AVE,BAY SHORE BLVD,
33270000,BOUTWELL ST,AUGUSTA ST,BAY SHORE BLVD,
33751000,HWY 101 N ON RAMP,BAY SHORE BLVD,BAY SHORE BLVD OFF RAMP,JERROLD AVE
33751000,HWY 101 N OFF RAMP,BAY SHORE BLVD,BAY SHORE BLVD OFF RAMP,JERROLD AVE
19195000,HWY 101 N ON RAMP,BAY SHORE BLVD,BAY SHORE BLVD OFF RAMP,JERROLD AVE
33751000,JERROLD AVE,BAY SHORE BLVD,BAY SHORE BLVD OFF RAMP,HWY 101 N ON RAMP
33279000,HWY 101 S OFF RAMP,BAY SHORE BLVD,BAY SHORE BLVD ON RAMP,
10979000,REVERE AVE,03RD ST,BAY VIEW ST,
20498000,REVERE AVE,03RD ST,BAY VIEW ST,
20534000,NEWHALL ST,BAY VIEW ST,BAYVIEW CIR,
9579000,NEWHALL ST,BAY VIEW ST,BAYVIEW CIR,
6894003,HESTER AVE,BAY SHORE BLVD,BAYVIEW PARK RD,
33209000,HWY 101 S OFF RAMP,BAY SHORE BLVD,BAYVIEW PARK RD,
33209000,HESTER AVE,BAY SHORE BLVD,BAYVIEW PARK RD,
19957000,BOYNTON CT,14TH ST,BELCHER ST,
25883000,BOYNTON CT,14TH ST,BELCHER ST,
22551000,RANDOLPH ST,19TH AVE,BEVERLY ST,
22551000,SARGENT ST,19TH AVE,BEVERLY ST,
21225000,EUGENIA AVE,BENNINGTON ST,BOCANA ST,
5306000,EUGENIA AVE,BENNINGTON ST,BOCANA ST,
