CNN,streetname,from_st,to_st,addrange,limits,from_cnn,to_cnn
7427000,JAMESTOWN AVE,GILROY ST,GRIFFITH ST,750 - 799,GILROY ST to GRIFFITH ST (750 - 799),20010000,20435000
7245000,INGERSON AVE,GIANTS DR,GILROY ST,700 - 749,GIANTS DR to GILROY ST (700 - 749),20011000,20101000
6171000,GIANTS DR,INGERSON AVE,GILMAN AVE,450 - 499,INGERSON AVE to GILMAN AVE (450 - 499),20011000,20097000
15107000,GILROY ST,IGNACIO AVE,GILROY ST,34 - 99,IGNACIO AVE to GILROY ST (34 - 99),20013000,51652000
4898000,DONAHUE ST,CLEO RAND AVE,JERROLD AVE,200 - 299,CLEO RAND AVE to JERROLD AVE (200 - 299),20034000,33121000
9706000,JERROLD AVE,EARL ST,DORMITORY RD \ NORTHRIDGE RD,700 - 799,EARL ST to DORMITORY RD \ NORTHRIDGE RD (700 - 799),20039000,20044000
7253000,INNES AVE,EARL ST,ARELIOUS WALKER DR,700 - 799,EARL ST to ARELIOUS WALKER DR (700 - 799),20041000,20056000
9707000,NORTHRIDGE RD,DORMITORY RD \ JERROLD AVE,HARBOR RD,Jan-99,DORMITORY RD \ JERROLD AVE to HARBOR RD (1 - 99),20044000,20060000
4937000,DORMITORY RD,JERROLD AVE \ NORTHRIDGE RD,KIRKWOOD AVE \ KISKA RD,Jan-99,JERROLD AVE \ NORTHRIDGE RD to KIRKWOOD AVE \ KISKA RD (1 - 99),20044000,20046000
4938000,KISKA RD,DORMITORY RD \ KIRKWOOD AVE,REARDON RD,141 - 199,DORMITORY RD \ KIRKWOOD AVE to REARDON RD (141 - 199),20046000,20058000
5595000,FITZGERALD AVE,DONAHUE ST,EARL ST,700 - 799,DONAHUE ST to EARL ST (700 - 799),20051000,33223000
4893000,DONAHUE ST,FITZGERALD AVE,GILMAN AVE,50 - 99,FITZGERALD AVE to GILMAN AVE (50 - 99),20051000,33226000
7254000,INNES AVE,ARELIOUS WALKER DR,GRIFFITH ST,800 - 899,ARELIOUS WALKER DR to GRIFFITH ST (800 - 899),20056000,20163000
5581000,ARELIOUS WALKER DR,INNES AVE,END: 300-399 BLOCK,300 - 399,INNES AVE to END: 300-399 BLOCK (300 - 399),20056000,50763000
7066000,HUDSON AVE,ARELIOUS WALKER DR,HUDSON AVE,800 - 899,ARELIOUS WALKER DR to HUDSON AVE (800 - 899),20057000,51855000
5580000,ARELIOUS WALKER DR,HUDSON AVE,INNES AVE,250 - 299,HUDSON AVE to INNES AVE (250 - 299),20057000,20056000
7901000,KISKA RD,REARDON RD,INGALLS ST,1 - 140,REARDON RD to INGALLS ST (1 - 140),20058000,20077000
10948000,REARDON RD,KISKA RD,END: 1-99 BLOCK,Jan-99,KISKA RD to END: 1-99 BLOCK (1 - 99),20058000,50770000
6671000,HARBOR RD,NORTHRIDGE RD,INGALLS ST,1 - 299,NORTHRIDGE RD to INGALLS ST (1 - 299),20060000,20061000
9708000,NORTHRIDGE RD,HARBOR RD,INGALLS ST \ ROSIE LEE LN,100 - 199,HARBOR RD to INGALLS ST \ ROSIE LEE LN (100 - 199),20060000,20078000
6672000,HARBOR RD,INGALLS ST,BERTHA LN,300 - 399,INGALLS ST to BERTHA LN (300 - 399),20061000,20086000
7217000,INGALLS ST,HARBOR RD,HUDSON AVE,1050 - 1099,HARBOR RD to HUDSON AVE (1050 - 1099),20061000,20085000
2697000,BALDWIN CT,OAKDALE AVE,END: 1-99 BLOCK,Jan-99,OAKDALE AVE to END: 1-99 BLOCK (1 - 99),20064000,50768000
9782000,OAKDALE AVE,BALDWIN CT,INGALLS ST,1100 - 1199,BALDWIN CT to INGALLS ST (1100 - 1199),20064000,20131000
9781000,OAKDALE AVE,GRIFFITH ST,BALDWIN CT,1000 - 1099,GRIFFITH ST to BALDWIN CT (1000 - 1099),20065000,20064000
6537000,GRIFFITH ST,OAKDALE AVE,CRISP RD,1100 - 1189,OAKDALE AVE to CRISP RD (1100 - 1189),20065000,33127000
6536001,GRIFFITH ST,LA SALLE AVE \ NAVY RD,OAKDALE AVE,1000 - 1070,LA SALLE AVE \ NAVY RD to OAKDALE AVE (1000 - 1070),20066000,35068000
6536000,GRIFFITH ST,LA SALLE AVE \ NAVY RD,OAKDALE AVE,1000 - 1099,LA SALLE AVE \ NAVY RD to OAKDALE AVE (1000 - 1099),20066000,20065000
9522000,NAVY RD,GRIFFITH ST \ LA SALLE AVE,END: 1000-1099 BLOCK,Jan-99,GRIFFITH ST \ LA SALLE AVE to END: 1000-1099 BLOCK (1 - 99),20066000,50769000
10972000,REVERE AVE,GRIFFITH ST,CRISP RD,1100 - 1188,GRIFFITH ST to CRISP RD (1100 - 1188),20067000,20076000
6541000,GRIFFITH ST,REVERE AVE,SHAFTER AVE,1400 - 1499,REVERE AVE to SHAFTER AVE (1400 - 1499),20067000,20116000
12569000,THOMAS AVE,GRIFFITH ST,HAWES ST,1100 - 1199,GRIFFITH ST to HAWES ST (1100 - 1199),20070000,20121000
10217000,PALOU AVE,CRISP RD,HAWES ST,1026 - 1099,CRISP RD to HAWES ST (1026 - 1099),20072000,20118000
4532000,CRISP RD,PALOU AVE,QUESADA AVE,100 - 199,PALOU AVE to QUESADA AVE (100 - 199),20072000,20074000
10216000,PALOU AVE,GRIFFITH ST,CRISP RD,1000 - 1025,GRIFFITH ST to CRISP RD (1000 - 1025),20073000,20072000
6539000,GRIFFITH ST,PALOU AVE,QUESADA AVE,1200 - 1299,PALOU AVE to QUESADA AVE (1200 - 1299),20073000,20075000
10810000,QUESADA AVE,CRISP RD,HAWES ST,1170 - 1199,CRISP RD to HAWES ST (1170 - 1199),20074000,20117000
4533000,CRISP RD,QUESADA AVE,REVERE AVE,200 - 299,QUESADA AVE to REVERE AVE (200 - 299),20074000,20076000
