CNN,street1,street2,street3,street4,street5
20010000,JAMESTOWN AVE,GILROY ST,,,
20011000,INGERSON AVE,GIANTS DR,,,
20013000,IGNACIO AVE,GILROY ST,,,
20034000,DONAHUE ST,CLEO RAND AVE,,,
20039000,JERROLD AVE,EARL ST,,,
20041000,INNES AVE,EARL ST,,,
20044000,NORTHRIDGE RD,DORMITORY RD,JERROLD AVE,,
20046000,KISKA RD,DORMITORY RD,KIRKWOOD AVE,,
20051000,FITZGERALD AVE,DONAHUE ST,,,
20056000,INNES AVE,ARELIOUS WALKER DR,,,
20057000,HUDSON AVE,ARELIOUS WALKER DR,,,
20058000,REARDON RD,KISKA RD,,,
20060000,NORTHRIDGE RD,HARBOR RD,,,
20061000,INGALLS ST,HARBOR RD,,,
20064000,OAKDALE AVE,BALDWIN CT,,,
20065000,OAKDALE AVE,GRIFFITH ST,,,
20066000,NAVY RD,GRIFFITH ST,LA SALLE AVE,,
20067000,REVERE AVE,GRIFFITH ST,,,
20070000,THOMAS AVE,GRIFFITH ST,,,
20072000,PALOU AVE,CRISP RD,,,
20073000,PALOU AVE,GRIFFITH ST,,,
20074000,QUESADA AVE,CRISP RD,,,
20075000,QUESADA AVE,GRIFFITH ST,,,
20076000,REVERE AVE,CRISP RD,,,
20077000,KISKA RD,INGALLS ST,,,
20078000,ROSIE LEE LN,INGALLS ST,NORTHRIDGE RD,,
20081000,INGALLS ST,BEATRICE LN,,,
20082000,ESPANOLA ST,BEATRICE LN,,,
20083000,MATTHEW CT,ESPANOLA ST,,,
20084000,ROSIE LEE LN,ESPANOLA ST,,,
20085000,INGALLS ST,HUDSON AVE,,,
20086000,HARBOR RD,BERTHA LN,,,
20087000,HUDSON AVE,BERTHA LN,,,
20089000,LILLIAN ST,BEATRICE LN,,,
20090000,ROSIE LEE LN,LILLIAN ST,,,
20092000,EGBERT AVE,ARELIOUS WALKER DR,,,
20093000,GRIFFITH ST,CARROLL AVE,,,
20096000,GRIFFITH ST,GILMAN AVE,,,
20097000,GILMAN AVE,GIANTS DR,,,
20101000,INGERSON AVE,GILROY ST,,,
20102000,INGERSON AVE,CORONADO ST,,,
20103000,INGERSON AVE,GRIFFITH ST,,,
20107000,HAWES ST,FITZGERALD AVE,,,
20110000,HAWES ST,CARROLL AVE,,,
20111000,HAWES ST,DONNER AVE,,,
20112000,HAWES ST,ARMSTRONG AVE,,,
20113000,INGALLS ST,ARMSTRONG AVE,,,
20114000,INGALLS ST,BANCROFT AVE,,,
20116000,SHAFTER AVE,GRIFFITH ST,,,
20117000,QUESADA AVE,HAWES ST,,,
20118000,PALOU AVE,HAWES ST,,,
20119000,SHAFTER AVE,HAWES ST,,,
20120000,REVERE AVE,HAWES ST,,,
20121000,THOMAS AVE,HAWES ST,,,
20122000,VAN DYKE AVE,HAWES ST,,,
20123000,UNDERWOOD AVE,HAWES ST,,,
20124000,SHAFTER AVE,INGALLS ST,,,
20125000,REVERE AVE,INGALLS ST,,,
20126000,LA SALLE AVE,INGALLS ST,,,
20127000,INGALLS ST,GEORGE CT,,,
20128000,WHITFIELD CT,LA SALLE AVE,,,
20131000,OAKDALE AVE,INGALLS ST,,,
20132000,OSCEOLA LN,LA SALLE AVE,,,
20135000,QUESADA AVE,INGALLS ST,,,
20136000,PALOU AVE,INGALLS ST,,,
20137000,LA SALLE AVE,GARLINGTON CT,,,
20138000,GARLINGTON CT,COMMER CT,,,
20140000,PALOU AVE,JENNINGS ST,,,
20142000,WALLACE AVE,INGALLS ST,,,
20144000,VAN DYKE AVE,INGALLS ST,,,
20145000,UNDERWOOD AVE,INGALLS ST,,,
20146000,THOMAS AVE,INGALLS ST,,,
20148000,YOSEMITE AVE,INGALLS ST,,,
20149000,UNDERWOOD AVE,JENNINGS ST,,,
20150000,THOMAS AVE,JENNINGS ST,,,
20151000,VAN DYKE AVE,JENNINGS ST,,,
20152000,WALLACE AVE,JENNINGS ST,,,
20153000,QUESADA AVE,JENNINGS ST,,,
20154000,REVERE AVE,JENNINGS ST,,,
20155000,SHAFTER AVE,JENNINGS ST,,,
20156000,OAKDALE AVE,KEITH ST,,,
20157000,PALOU AVE,KEITH ST,,,
20158000,SHAFTER AVE,KEITH ST,,,
20159000,REVERE AVE,KEITH ST,,,
20160000,THOMAS AVE,KEITH ST,,,
20161000,QUESADA AVE,KEITH ST,,,
20162000,INNES AVE,HAWES ST,,,
20163000,INNES AVE,GRIFFITH ST,,,
20164000,HUNTERS POINT BLVD,HAWES ST,HUDSON AVE,,
20168000,MIDDLE POINT RD,HARE ST,,,
20170000,MIDDLE POINT RD,FAIRFAX AVE,,,
20172000,MIDDLE POINT RD,CATALINA ST,,,
20175000,MIDDLE POINT RD,INGALLS ST,INNES AVE,,
20177000,MIDDLE POINT RD,EVANS AVE,JENNINGS ST,,
20178000,NEWHALL ST,JENNINGS ST,,,
20180000,MIDDLE POINT RD,ACACIA AVE,,,
20181000,KEITH ST,EVANS AVE,,,
20182000,KEITH ST,FAIRFAX AVE,,,
20185000,HUDSON AVE,ARDATH CT,HAWKINS LN,,
20188000,WHITNEY YOUNG CIR,HUDSON AVE,,,
20189000,WESTBROOK CT,HUDSON AVE,,,
20191000,HUDSON AVE,CASHMERE ST,,,
20193000,REUEL CT,HUDSON AVE,,,
20196000,NEWCOMB AVE,LA SALLE AVE,,,
20197000,NEWCOMB AVE,KEITH ST,,,
20198000,LA SALLE AVE,CASHMERE ST,,,
20200000,WHITNEY YOUNG CIR,CASHMERE ST,DEDMAN CT,,
20201000,KEITH ST,HUDSON AVE,,,
20203000,MENDELL ST,EVANS AVE,,,
20204000,MENDELL ST,FAIRFAX AVE,,,
20205000,MCKINNON AVE,LANE ST,,,
